Flight_No,Airline,Destination,Via,Departure_Time,Terminal_Gate,Expected_Pax
GA715,Garuda Indonesia,Bali,Direct,2024-01-01 07:25:00,T1-35,311
SQ211,Singapore Airlines,Singapore,Direct,2024-01-01 08:00:00,T1-25,153
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-01 08:47:00,T1-31,353
TG476,Thai Airways,Bangkok,Direct,2024-01-01 09:05:00,T1-26,324
MU502,China Eastern,Shanghai,Direct,2024-01-01 09:20:00,T1-20,297
PR211,Philippine Airlines,Manila,Direct,2024-01-01 09:33:00,T1-53,233
OZ602,Asiana Airlines,Seoul,Direct,2024-01-01 09:41:00,T1-44,245
JL771,Japan Airlines,Tokyo,Direct,2024-01-01 10:02:00,T1-22,370
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-01 10:35:00,T1-34,189
KE601,Korean Air,Seoul,Direct,2024-01-01 11:25:00,T1-51,189
QF7,Qantas,Los Angeles,Direct,2024-01-01 11:57:00,T1-25,232
SQ213,Singapore Airlines,Singapore,Direct,2024-01-01 13:33:00,T1-25,373
CX103,Cathay Pacific,Hong Kong,Direct,2024-01-01 15:50:00,T1-55,250
QF1,Qantas,Singapore,Direct,2024-01-01 16:27:00,T1-22,309
QR007,Qatar Airways,Doha,Direct,2024-01-01 20:43:00,T1-40,202
EK413,Emirates,Dubai,Direct,2024-01-01 21:07:00,T1-48,322
GA715,Garuda Indonesia,Bali,Direct,2024-01-02 07:25:00,T1-49,359
TR13,Scoot,Singapore,Direct,2024-01-02 07:49:00,T1-55,385
5J32,Cebu Pacific,Manila,Direct,2024-01-02 08:02:00,T1-05,263
SQ211,Singapore Airlines,Singapore,Direct,2024-01-02 08:03:00,T1-51,150
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-02 08:42:00,T1-38,193
MU502,China Eastern,Shanghai,Direct,2024-01-02 09:17:00,T1-30,182
CA781,Air China,Beijing,Direct,2024-01-02 09:55:00,T1-27,238
JL771,Japan Airlines,Tokyo,Direct,2024-01-02 10:02:00,T1-27,215
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-02 10:29:00,T1-23,183
NH880,ANA,Tokyo,Direct,2024-01-02 11:15:00,T1-23,305
KE601,Korean Air,Seoul,Direct,2024-01-02 11:27:00,T1-45,316
QF7,Qantas,Los Angeles,Direct,2024-01-02 11:59:00,T1-23,381
QF1,Qantas,Singapore,Direct,2024-01-02 16:35:00,T1-22,384
UA839,United Airlines,Los Angeles,Direct,2024-01-02 21:05:00,T1-20,303
EK413,Emirates,Dubai,Direct,2024-01-02 21:12:00,T1-18,217
GA715,Garuda Indonesia,Bali,Direct,2024-01-03 07:31:00,T1-53,341
SQ211,Singapore Airlines,Singapore,Direct,2024-01-03 08:01:00,T1-32,366
TG476,Thai Airways,Bangkok,Direct,2024-01-03 09:01:00,T1-38,162
PR211,Philippine Airlines,Manila,Direct,2024-01-03 09:33:00,T1-22,325
OZ602,Asiana Airlines,Seoul,Direct,2024-01-03 09:42:00,T1-14,186
JL771,Japan Airlines,Tokyo,Direct,2024-01-03 10:04:00,T1-15,154
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-03 10:28:00,T1-22,342
KE601,Korean Air,Seoul,Direct,2024-01-03 11:32:00,T1-41,232
QF7,Qantas,Los Angeles,Direct,2024-01-03 11:52:00,T1-18,333
SQ213,Singapore Airlines,Singapore,Direct,2024-01-03 13:25:00,T1-52,316
CX103,Cathay Pacific,Hong Kong,Direct,2024-01-03 15:47:00,T1-41,225
QF1,Qantas,Singapore,Direct,2024-01-03 16:31:00,T1-30,349
QR007,Qatar Airways,Doha,Direct,2024-01-03 20:40:00,T1-43,361
EK413,Emirates,Dubai,Direct,2024-01-03 21:15:00,T1-16,181
GA715,Garuda Indonesia,Bali,Direct,2024-01-04 07:35:00,T1-43,313
TR13,Scoot,Singapore,Direct,2024-01-04 07:42:00,T1-53,390
SQ211,Singapore Airlines,Singapore,Direct,2024-01-04 08:05:00,T1-41,330
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-04 08:40:00,T1-09,381
TG476,Thai Airways,Bangkok,Direct,2024-01-04 09:02:00,T1-12,399
MU502,China Eastern,Shanghai,Direct,2024-01-04 09:14:00,T1-46,221
JL771,Japan Airlines,Tokyo,Direct,2024-01-04 09:56:00,T1-19,310
CA781,Air China,Beijing,Direct,2024-01-04 10:02:00,T1-08,250
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-04 10:33:00,T1-33,151
NH880,ANA,Tokyo,Direct,2024-01-04 11:10:00,T1-21,220
KE601,Korean Air,Seoul,Direct,2024-01-04 11:25:00,T1-16,261
QF7,Qantas,Los Angeles,Direct,2024-01-04 11:52:00,T1-21,165
SQ213,Singapore Airlines,Singapore,Direct,2024-01-04 13:29:00,T1-13,151
QF1,Qantas,Singapore,Direct,2024-01-04 16:32:00,T1-07,272
UA839,United Airlines,Los Angeles,Direct,2024-01-04 20:55:00,T1-26,206
EK413,Emirates,Dubai,Direct,2024-01-04 21:15:00,T1-01,190
GA715,Garuda Indonesia,Bali,Direct,2024-01-05 07:30:00,T1-48,251
SQ211,Singapore Airlines,Singapore,Direct,2024-01-05 07:56:00,T1-11,279
5J32,Cebu Pacific,Manila,Direct,2024-01-05 07:59:00,T1-15,237
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-05 08:40:00,T1-21,269
MU502,China Eastern,Shanghai,Direct,2024-01-05 09:15:00,T1-37,204
PR211,Philippine Airlines,Manila,Direct,2024-01-05 09:32:00,T1-20,314
OZ602,Asiana Airlines,Seoul,Direct,2024-01-05 09:47:00,T1-01,199
JL771,Japan Airlines,Tokyo,Direct,2024-01-05 09:56:00,T1-30,208
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-05 10:31:00,T1-20,344
KE601,Korean Air,Seoul,Direct,2024-01-05 11:25:00,T1-18,227
QF7,Qantas,Los Angeles,Direct,2024-01-05 12:00:00,T1-22,300
CX103,Cathay Pacific,Hong Kong,Direct,2024-01-05 15:42:00,T1-11,270
QF1,Qantas,Singapore,Direct,2024-01-05 16:30:00,T1-48,352
QR007,Qatar Airways,Doha,Direct,2024-01-05 20:50:00,T1-20,199
EK413,Emirates,Dubai,Direct,2024-01-05 21:12:00,T1-05,252
GA715,Garuda Indonesia,Bali,Direct,2024-01-06 07:28:00,T1-06,269
TR13,Scoot,Singapore,Direct,2024-01-06 07:40:00,T1-39,279
SQ211,Singapore Airlines,Singapore,Direct,2024-01-06 07:58:00,T1-34,190
TG476,Thai Airways,Bangkok,Direct,2024-01-06 08:56:00,T1-09,319
PR211,Philippine Airlines,Manila,Direct,2024-01-06 09:34:00,T1-44,190
OZ602,Asiana Airlines,Seoul,Direct,2024-01-06 09:46:00,T1-22,267
